	eCO2-1	eCO2-2	eCO2-3	eCO2-4	eCO2-5	eCO2-6	Abundance	Type	phylum	class	order	family	genus	species	
ASV2825	0.000143246	0	0	0	0	0	2.39E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__unclassified_c__Filosa-Sarcomonadea	f__unclassified_c__Filosa-Sarcomonadea	g__unclassified_c__Filosa-Sarcomonadea	s__unclassified_c__Filosa-Sarcomonadea	
ASV4084	0	0	0.000429738	0	0	0	0.000071623	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.	
ASV2961	0	0	0	0.001145968	0	0	0.000190995	Pro	p__Ciliophora	c__Oligohymenophorea	o__Scuticociliatia	f__Scuticociliatia_X	g__Scuticociliatia_XX	s__Scuticociliatia_XX_sp.	
ASV221	0	0	0.00071623	0.000286492	0.000143246	0	0.000190995	Pro	p__Cercozoa	c__Filosa-Imbricatea	o__Euglyphida	f__Euglyphidae	g__Tracheleuglypha	s__Tracheleuglypha_dentata	
ASV2304	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cercomonas	s__unclassified_g__Cercomonas	
ASV4192	0	0	0.000286492	0	0	0	4.77E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Paracercomonadidae	g__Paracercomonas	s__Paracercomonas_elongata	
ASV3899	0	0	0	0	0	0.000143246	2.39E-05	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta	
ASV434	0	0	0	0	0	0	0	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Mb5C-lineage	g__Mb5C-lineage_X	s__Mb5C-lineage_X_sp.	
ASV1287	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__Neoheteromita_caudratti	
ASV4477	0	0	0	0	0.000143246	0	2.39E-05	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__AND16-lineage	g__AND16-lineage_X	s__AND16-lineage_X_sp.	
ASV531	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV4688	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__unclassified_c__Filosa-Thecofilosea	f__unclassified_c__Filosa-Thecofilosea	g__unclassified_c__Filosa-Thecofilosea	s__unclassified_c__Filosa-Thecofilosea	
ASV2312	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Allapsidae	g__Viridiraptor	s__unclassified_g__Viridiraptor	
ASV298	0.002148689	0.002005443	0.001862197	0.00071623	0.001718951	0.001862197	0.001718951	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Neocercomonas	s__Neocercomonas_jutlandica	
ASV3122	0	0	0	0.000286492	0	0	4.77E-05	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.	
ASV697	0	0	0	0	0	0.000429738	0.000071623	Pro	p__Apusomonadidae	c__Apusomonadidae_Group-1	o__Apusomonadidae_Group-1_X	f__Apusomonadidae_Group-1_XX	g__Apusomonas	s__Apusomonas_proboscidea	
ASV431	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Lobosa_X	o__Centramoebida	f__Balamuthiidae	g__Balamuthiidae_X	s__Balamuthiidae_X_sp.	
ASV4605	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Tubulinea	o__Echinamoebida	f__Vermamoebidae	g__Hartmannella	s__unclassified_g__Hartmannella	
ASV3145	0	0	0	0.000286492	0	0	4.77E-05	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV1489	0.001002722	0.000429738	0	0.000572984	0.001718951	0	0.000620733	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.	
ASV1498	0	0.001002722	0	0	0	0	0.00016712	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV1589	0	0.000286492	0	0	0	0	4.77E-05	Pro	p__Lobosa	c__Lobosa-G1	o__Lobosa-G1_X	f__Lobosa-G1_XX	g__Lobosa-G1_XXX	s__Lobosa-G1_XXX_sp.	
ASV4194	0	0	0.000143246	0	0	0	2.39E-05	Pro	p__Eukaryota_XX	c__Eukaryota_XXX	o__Eukaryota_XXXX	f__Eukaryota_XXXXX	g__Eukaryota_XXXXXX	s__Eukaryota_XXXXXX_sp.	
ASV3644	0	0	0	0	0	0.002721673	0.000453612	Pro	p__Ciliophora	c__Colpodea	o__Colpodida	f__Colpodidae	g__unclassified_f__Colpodidae	s__unclassified_f__Colpodidae	
ASV4544	0	0	0	0	0.000143246	0	2.39E-05	Pro	p__Conosa	c__Variosea	o__ATCC50593-Flamella-WIM80-lineage	f__ATCC50593-lineage	g__ATCC50593-lineage_X	s__ATCC50593-lineage_X_sp.	
ASV4249	0	0	0	0	0.002005443	0	0.000334241	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	s__Variosea_XXX_sp.	
ASV4094	0	0	0.000429738	0	0	0	0.000071623	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__unclassified_o__Vampyrellida	g__unclassified_o__Vampyrellida	s__unclassified_o__Vampyrellida	
ASV3414	0	0	0	0	0	0	0	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta	
ASV1652	0	0.000286492	0	0	0	0	4.77E-05	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV3910	0	0	0	0	0	0.000143246	2.39E-05	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.	
ASV2421	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.	
ASV360	0.000286492	0.002005443	0.000429738	0	0	0	0.000453612	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Allapsidae	g__Allantion	s__Allantion_sp.	
ASV1809	0	0.000143246	0	0	0	0	2.39E-05	Pro	p__Lobosa	c__Tubulinea	o__Nolandida	f__Nolandellidae	g__Nolandellidae_X	s__Nolandellidae_X_sp.	
ASV455	0.002864919	0	0.00071623	0	0	0.002435181	0.001002722	Pro	p__Lobosa	c__Tubulinea	o__Euamoebida	f__LOS7NI-lineage	g__LOS7NI-lineage_X	s__LOS7NI-lineage_X_sp.	
ASV4385	0	0	0	0	0.000286492	0	4.77E-05	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV2399	0	0	0	0	0	0	0	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	s__Variosea_XXX_sp.	
ASV3972	0	0	0.00143246	0	0	0	0.000238743	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta	
ASV2563	0.003008165	0	0	0	0	0	0.000501361	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV4367	0	0	0	0	0.00071623	0	0.000119372	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Mb5C-lineage	g__Mb5C-lineage_X	s__Mb5C-lineage_X_sp.	
ASV2641	0.000572984	0	0	0	0	0.000143246	0.000119372	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	s__Variosea_XXX_sp.	
ASV1490	0	0.00071623	0	0	0	0	0.000119372	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Phalansteriidae	g__Phalansterium	s__Phalansterium_sp.	
ASV3311	0	0	0	0	0	0	0	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Filamoebidae	g__Filamoeba	s__Filamoeba_sinensis	
ASV3949	0	0	0.002005443	0	0	0	0.000334241	Pro	p__Ciliophora	c__Spirotrichea	o__Hypotrichia	f__Oxytrichidae	g__Gonostomum	s__Gonostomum_strenuum	
ASV320	0	0.002291935	0.002005443	0.00143246	0.001718951	0.000859476	0.001384711	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Paracercomonadidae	g__Paracercomonas	s__Paracercomonas_sp.	
ASV3685	0	0	0	0	0	0.000286492	4.77E-05	Pro	p__Ciliophora	c__Phyllopharyngea	o__Cyrtophoria	f__Chilodonellidae	g__Chilodonellidae_X	s__Chilodonellidae_X_sp.	
ASV620	0	0	0	0	0	0	0	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Schizoplasmodiids	g__unclassified_f__Schizoplasmodiids	s__unclassified_f__Schizoplasmodiids	
ASV1539	0	0.000859476	0	0	0	0	0.000143246	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV2906	0	0	0	0.004154133	0	0.002864919	0.001169842	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cercomonas	s__Cercomonas_longicauda	
ASV365	0	0.001575705	0	0	0	0	0.000262618	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__Cryomonadida	f__Rhogostoma-lineage	g__Rhogostoma-lineage_X	s__Rhogostoma-lineage_X_sp.	
ASV1031	0	0	0	0.001002722	0	0.002435181	0.000572984	Pro	p__Ciliophora	c__Colpodea	o__Platyophryida	f__unclassified_o__Platyophryida	g__unclassified_o__Platyophryida	s__unclassified_o__Platyophryida	
ASV2084	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__unclassified_o__Glissomonadida	g__unclassified_o__Glissomonadida	s__unclassified_o__Glissomonadida	
ASV678	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.	
ASV3998	0	0	0.001145968	0	0	0	0.000190995	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV4324	0	0	0	0	0.001002722	0	0.00016712	Pro	p__Lobosa	c__Lobosa-G1	o__Lobosa-G1_X	f__Lobosa-G1_XX	g__Lobosa-G1_XXX	s__Lobosa-G1_XXX_sp.	
ASV2424	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Tubulinea	o__Nolandida	f__Nolandellidae	g__Nolandellidae_X	s__Nolandellidae_X_sp.	
ASV1107	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Tubulinea	o__Echinamoebida	f__Echinamoebidae	g__Echinamoeba	s__Echinamoeba_exundans	
ASV2080	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Proleptomonadidae	g__Proleptomonas	s__Proleptomonas_sp.	
ASV2524	0	0	0	0	0	0	0	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta	
ASV1052	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__unclassified_f__Sandonidae	s__unclassified_f__Sandonidae	
ASV3075	0	0	0	0.000572984	0	0	9.55E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__unclassified_o__Glissomonadida	g__unclassified_o__Glissomonadida	s__unclassified_o__Glissomonadida	
ASV2943	0	0	0	0.00143246	0	0	0.000238743	Pro	p__Ciliophora	c__Colpodea	o__Colpodida	f__Colpodidae	g__Colpodidae_X	s__Colpodidae_X_sp.	
ASV4028	0	0	0.000859476	0	0	0	0.000143246	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV1211	0	0	0	0	0	0	0	Pro	p__Ciliophora	c__Oligohymenophorea	o__Sessilida	f__Vorticellidae	g__Vorticellides	s__unclassified_g__Vorticellides	
ASV3323	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Tubulinea	o__Nolandida	f__Nolandellidae	g__Nolandellidae_X	s__Nolandellidae_X_sp.	
ASV2968	0	0	0	0.001002722	0	0	0.00016712	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV4364	0	0	0	0	0.000572984	0	9.55E-05	Pro	p__Cercozoa	c__Filosa-Granofilosea	o__Limnofilida	f__Limnofilidae	g__Limnofilidae_X	s__Limnofilidae_X_sp.	
ASV132	0.004583871	0.001575705	0	0.001145968	0.001718951	0.001002722	0.001671203	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Thalassomyxa-lineage	g__Thalassomyxa-lineage_X	s__Thalassomyxa-lineage_X_sp.	
ASV1378	0	0.003151411	0	0	0	0	0.000525235	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__unclassified_g__Neoheteromita	
ASV2627	0.001145968	0	0	0	0	0	0.000190995	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Eocercomonas	s__unclassified_g__Eocercomonas	
ASV914	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV1819	0	0	0.003724395	0	0	0	0.000620733	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__AND16-lineage	g__AND16-lineage_X	s__AND16-lineage_X_sp.	
ASV96	0.008308265	0.004440625	0.003294657	0.006302822	0.005156854	0.002578427	0.005013608	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__Cryomonadida	f__Rhogostoma-lineage	g__Rhogostoma-lineage_X	s__Rhogostoma-lineage_X_sp.	
ASV2407	0	0	0	0	0	0	0	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta	
ASV3289	0	0	0	0	0	0	0	Pro	p__Conosa	c__Variosea	o__ATCC50593-Flamella-WIM80-lineage	f__Flamella-lineage	g__Flamella	s__unclassified_g__Flamella	
ASV54	0.007019052	0.005586592	0.007019052	0.008021773	0.018621974	0.002005443	0.008045648	Pro	p__Lobosa	c__Tubulinea	o__Echinamoebida	f__Vermamoebidae	g__unclassified_f__Vermamoebidae	s__unclassified_f__Vermamoebidae	
ASV4014	0	0	0.00071623	0	0	0	0.000119372	Pro	p__Cercozoa	c__Novel-clade-10-12	o__Tremulida	f__Tremulidae	g__Tremula	s__Tremula_longifila	
ASV3216	0	0	0	0.000143246	0	0	2.39E-05	Pro	p__Dinophyta	c__Dinophyceae	o__Dinophyceae_X	f__Dinophyceae_XX	g__unclassified_f__Dinophyceae_XX	s__unclassified_f__Dinophyceae_XX	
ASV3064	0	0	0	0.000572984	0	0	9.55E-05	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Vampyrellidae	g__Vampyrella	s__Vampyrella_sp.	
ASV1776	0	0.000143246	0	0	0	0	2.39E-05	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__AND16-lineage	g__AND16-lineage_X	s__AND16-lineage_X_sp.	
ASV188	0.004297379	0.016473285	0.007305544	0.01948145	0.003437903	0.007735281	0.009788474	Pro	p__Ciliophora	c__Spirotrichea	o__Hypotrichia	f__Oxytrichidae	g__Oxytricha	s__Oxytricha_sp.	
ASV3572	0	0	0	0	0	0.000429738	0.000071623	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV4312	0	0	0	0	0.000859476	0	0.000143246	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__unclassified_o__Glissomonadida	g__unclassified_o__Glissomonadida	s__unclassified_o__Glissomonadida	
ASV3369	0	0	0.000429738	0	0	0	0.000071623	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__op14-lineage	g__op14-lineage_X	s__op14-lineage_X_sp.	
ASV1494	0	0.000572984	0	0	0	0	9.55E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Eocercomonas	s__unclassified_g__Eocercomonas	
ASV241	0.000859476	0.000286492	0.000572984	0.00071623	0.001145968	0.002148689	0.000954973	Pro	p__Cercozoa	c__Filosa-Imbricatea	o__Euglyphida	f__Trinematidae	g__unclassified_f__Trinematidae	s__unclassified_f__Trinematidae	
ASV3	0.086090818	0.068614812	0.0601633	0.07964475	0.057728119	0.083082653	0.072554075	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	s__Variosea_XXX_sp.	
ASV3810	0	0	0	0	0	0.000143246	2.39E-05	Pro	p__Cercozoa	c__Novel-clade-10-12	o__Tremulida	f__Tremulidae	g__Tremula	s__Tremula_longifila	
ASV1463	0	0.000572984	0	0	0	0.000572984	0.000190995	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__Neoheteromita_caudratti	
ASV2822	0.000429738	0	0	0	0	0	0.000071623	Pro	p__Ciliophora	c__Litostomatea	o__Haptoria	f__Spathidiidae	g__unclassified_f__Spathidiidae	s__unclassified_f__Spathidiidae	
ASV388	0.002864919	0.00071623	0	0.002291935	0.000429738	0.001575705	0.001313088	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Filamoebidae	g__Filamoeba	s__unclassified_g__Filamoeba	
ASV4119	0	0	0.000143246	0	0	0	2.39E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Filosa-Sarcomonadea_X	f__Sainouridae	g__Helkesimastix	s__Helkesimastix_marina	
ASV1445	0.001002722	0.001289214	0.000143246	0.00143246	0.001002722	0	0.000811727	Pro	p__Cercozoa	c__unclassified_p__Cercozoa	o__unclassified_p__Cercozoa	f__unclassified_p__Cercozoa	g__unclassified_p__Cercozoa	s__unclassified_p__Cercozoa	
ASV4240	0	0	0	0	0.004440625	0	0.000740104	Pro	p__Lobosa	c__Tubulinea	o__Leptomyxida	f__Flabellulidae	g__Flabellula	s__Flabellula_citata	
ASV1812	0	0.000286492	0	0	0	0	4.77E-05	Pro	p__Eukaryota_XX	c__Eukaryota_XXX	o__Eukaryota_XXXX	f__Eukaryota_XXXXX	g__Eukaryota_XXXXXX	s__Eukaryota_XXXXXX_sp.	
ASV1689	0	0.000143246	0	0	0	0	2.39E-05	Pro	p__Eukaryota_XX	c__Eukaryota_XXX	o__Eukaryota_XXXX	f__Eukaryota_XXXXX	g__Eukaryota_XXXXXX	s__Eukaryota_XXXXXX_sp.	
ASV2734	0.000572984	0	0	0	0	0	9.55E-05	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Vampyrellidae	g__Vampyrella	s__Vampyrella_sp.	
ASV363	0.002578427	0.003008165	0.002005443	0.003437903	0.003151411	0.001718951	0.00265005	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__unclassified_f__Cercomonadidae	s__unclassified_f__Cercomonadidae	
ASV1854	0.00071623	0	0.000143246	0.000859476	0	0	0.000286492	Pro	p__Ciliophora	c__Spirotrichea	o__Hypotrichia	f__Pseudourostylidae	g__Pseudourostyla	s__Pseudourostyla_franzi	
ASV1569	0	0.000429738	0	0	0	0	0.000071623	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta	
ASV4030	0	0	0.000286492	0	0	0	4.77E-05	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Vampyrellidae	g__Vampyrella	s__Vampyrella_sp.	
ASV1448	0	0.00143246	0	0	0	0	0.000238743	Pro	p__Ciliophora	c__Litostomatea	o__Haptoria	f__unclassified_o__Haptoria	g__unclassified_o__Haptoria	s__unclassified_o__Haptoria	
ASV814	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__unclassified_g__Neoheteromita	
ASV2966	0	0	0	0.001145968	0	0	0.000190995	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__Neoheteromita	s__Neoheteromita_sp.	
ASV551	0.000572984	0	0.000572984	0	0	0.000572984	0.000286492	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__unclassified_f__Cercomonadidae	s__unclassified_f__Cercomonadidae	
ASV2419	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Cercozoa_X	o__Cercozoa_XX	f__Cercozoa_XXX	g__Cercozoa_XXXX	s__Cercozoa_XXXX_sp.	
ASV2217	0	0	0	0	0	0	0	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__AND16-lineage	g__AND16-lineage_X	s__AND16-lineage_X_sp.	
ASV3594	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cercomonas	s__unclassified_g__Cercomonas	
ASV3014	0	0	0	0.000429738	0	0	0.000071623	Pro	p__Ciliophora	c__Colpodea	o__Colpodida	f__Colpodidae	g__Colpodidae_X	s__Colpodidae_X_sp.	
ASV72	0	0.006589314	0.007592036	0.005156854	0.004583871	0	0.003987013	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Eocercomonas	s__Eocercomonas_sp.	
ASV831	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__unclassified_f__Cercomonadidae	s__unclassified_f__Cercomonadidae	
ASV2910	0	0	0	0.004010887	0.007019052	0	0.001838323	Pro	p__Lobosa	c__Lobosa_X	o__Lobosa_XX	f__LKM74-lineage	g__LKM74-lineage_X	s__LKM74-lineage_X_sp.	
ASV2993	0	0	0	0.001002722	0	0	0.00016712	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Penardia-lineage	g__Penardia-lineage_X	s__Penardia-lineage_X_sp.	
ASV4499	0	0	0	0	0.000143246	0	2.39E-05	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta	
ASV25	0.00601633	0.012892136	0.015757055	0.007162298	0.006302822	0.004870362	0.008833501	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Glissomonadida	f__Sandonidae	g__unclassified_f__Sandonidae	s__unclassified_f__Sandonidae	
ASV1404	0	0.002721673	0.001289214	0.001862197	0.001718951	0	0.001265339	Pro	p__Lobosa	c__Tubulinea	o__Nolandida	f__Nolandellidae	g__Nolandellidae_X	s__Nolandellidae_X_sp.	
ASV3050	0	0	0	0.00071623	0	0	0.000119372	Pro	p__Ciliophora	c__Oligohymenophorea	o__Tetrahymenida	f__Tetrahymenidae	g__Tetrahymena	s__Tetrahymena_rostrata	
ASV488	0	0	0	0	0	0	0	Pro	p__unclassified_k__Opisthokonta	c__unclassified_k__Opisthokonta	o__unclassified_k__Opisthokonta	f__unclassified_k__Opisthokonta	g__unclassified_k__Opisthokonta	s__unclassified_k__Opisthokonta	
ASV2737	0.000429738	0	0	0	0	0	0.000071623	Pro	p__Cercozoa	c__Filosa-Thecofilosea	o__Filosa-Thecofilosea_X	f__Filosa-Thecofilosea_XX	g__Filosa-Thecofilosea_XXX	s__Filosa-Thecofilosea_XXX_sp.	
ASV4187	0	0	0.000286492	0	0	0	4.77E-05	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cercomonas	s__unclassified_g__Cercomonas	
ASV2982	0	0	0	0.001002722	0	0	0.00016712	Pro	p__Cercozoa	c__Endomyxa	o__Vampyrellida	f__Vampyrellidae	g__Vampyrella	s__Vampyrella_sp.	
ASV1392	0	0.003294657	0	0	0.002864919	0.004870362	0.001838323	Pro	p__Lobosa	c__Lobosa-G1	o__Lobosa-G1_X	f__Lobosa-G1_XX	g__Lobosa-G1_XXX	s__Lobosa-G1_XXX_sp.	
ASV1339	0	0	0	0	0	0	0	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__AND16-lineage	g__AND16-lineage_X	s__AND16-lineage_X_sp.	
ASV3461	0	0	0	0	0	0	0	Pro	p__Lobosa	c__Tubulinea	o__Euamoebida	f__LOS7NI-lineage	g__LOS7NI-lineage_X	s__LOS7NI-lineage_X_sp.	
ASV3973	0	0	0.001718951	0	0	0	0.000286492	Pro	p__Ciliophora	c__Colpodea	o__Colpodida	f__Colpodidae	g__unclassified_f__Colpodidae	s__unclassified_f__Colpodidae	
ASV3522	0	0	0	0	0	0	0	Pro	p__Discoba	c__Heterolobosea	o__Heterolobosea_X	f__Heterolobosea_XX	g__Paravahlkampfia	s__Paravahlkampfia_sp.	
ASV844	0	0	0	0	0	0	0	Pro	p__Conosa	c__Variosea	o__Variosea_X	f__Variosea_XX	g__Variosea_XXX	s__Variosea_XXX_sp.	
ASV2512	0	0	0	0	0	0	0	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Paracercomonadidae	g__Paracercomonas	s__Paracercomonas_filosa	
ASV3700	0	0	0	0	0	0.001002722	0.00016712	Pro	p__Cercozoa	c__Filosa-Sarcomonadea	o__Cercomonadida	f__Cercomonadidae	g__Cercomonadidae_X	s__Cercomonadidae_X_sp.	
